geo_id,geography,date_start,date_end,platform_and_product,facet,level,variable,cluster_name,value,geo_name
ABW,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,gdp_per_working_age_capita,,55553.99364615255,Aruba
ABW,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_count,,0.0,Aruba
ABW,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_pct,,0.0,Aruba
ABW,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_per_capita,,0.0,Aruba
ABW,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_per_capita_index,,0.0,Aruba
ABW,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,working_age_pop,,71138.0,Aruba
ABW,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_tier,Minimal,0.0,Aruba
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,directive,113.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,directive,47.47899159663865,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct_index,directive,1.2243222456282374,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,feedback loop,18.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,feedback loop,7.563025210084033,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct_index,feedback loop,0.7329822179881821,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,learning,44.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,learning,18.487394957983195,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct_index,learning,0.9090019123473206,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,not_classified,17.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,not_classified,7.142857142857142,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,task iteration,46.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,task iteration,19.327731092436977,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct_index,task iteration,0.8697073215827468,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration_automation_augmentation,0,augmentation_pct,augmentation,40.723981900452486,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration_automation_augmentation,0,automation_pct,automation,59.276018099547514,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,gdp_per_working_age_capita,,5796.591076911293,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,working_age_pop,,20002446.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_tier,Emerging (bottom 25%),1.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_count,,238.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_pct,,0.024676151432772,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_per_capita,,1.1898544807969985e-05,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_per_capita_index,,0.04561227046565567,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_count,"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",17.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct,"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",7.142857142857142,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct_index,"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",1.8714157653934365,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_count,not_classified,197.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct,not_classified,82.77310924369748,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_count,"write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",24.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct,"write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",10.084033613445378,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct_index,"write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",2.069755892823389,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_count,Help develop and debug complete web applications and user interfaces,38.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct,Help develop and debug complete web applications and user interfaces,15.966386554621849,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct_index,Help develop and debug complete web applications and user interfaces,2.199549224934789,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_count,"Help edit, improve, and create professional written documents and communications",21.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct,"Help edit, improve, and create professional written documents and communications",8.823529411764707,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct_index,"Help edit, improve, and create professional written documents and communications",1.3023354415680513,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_count,Provide comprehensive software development assistance across multiple programming domains and technologies,31.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct,Provide comprehensive software development assistance across multiple programming domains and technologies,13.025210084033615,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct_index,Provide comprehensive software development assistance across multiple programming domains and technologies,0.7028419159900816,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_count,Provide educational tutoring and academic assistance across multiple subjects and disciplines,24.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct,Provide educational tutoring and academic assistance across multiple subjects and disciplines,10.084033613445378,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct_index,Provide educational tutoring and academic assistance across multiple subjects and disciplines,1.343201800324046,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_count,not_classified,124.0,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct,not_classified,52.10084033613446,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),soc_occupation,0,soc_pct,Computer and Mathematical,17.22689075630252,Angola
AGO,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),soc_occupation,0,soc_pct,not_classified,82.77310924369748,Angola
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,directive,148.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,directive,40.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct_index,directive,1.0314644051664443,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,feedback loop,58.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,feedback loop,15.675675675675675,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct_index,feedback loop,1.519232212779109,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,learning,59.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,learning,15.945945945945947,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct_index,learning,0.7840420671487148,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,not_classified,4.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,not_classified,1.0810810810810811,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,task iteration,82.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,task iteration,22.162162162162165,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct_index,task iteration,0.9972507689781954,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,validation,19.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,validation,5.135135135135135,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct_index,validation,1.1463238964558227,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration_automation_augmentation,0,augmentation_pct,augmentation,43.71584699453552,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration_automation_augmentation,0,automation_pct,automation,56.284153005464475,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,gdp_per_working_age_capita,,15160.177657549833,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,working_age_pop,,1798066.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_tier,Lower middle (25-50%),2.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_count,,370.0,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_pct,,0.0383620841601917,Albania
ALB,country,2025-08-04,2025-08-11,Claude AI (Free and Pro),country,0,usage_per_capita,,0.00020577665113516411,Albania
