geo_id,geography,date_start,date_end,platform_and_product,facet,level,variable,cluster_name,value
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_autonomy,0,ai_autonomy_count,,70.0
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_autonomy,0,ai_autonomy_mean,,3.299999952316284
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_autonomy,0,ai_autonomy_mean_ci_lower,,3.114285707473755
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_autonomy,0,ai_autonomy_mean_ci_upper,,3.4857141971588135
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_autonomy,0,ai_autonomy_median,,3.0
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_autonomy,0,ai_autonomy_median_ci_lower,,3.0301717287891625
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_autonomy,0,ai_autonomy_median_ci_upper,,3.6979731621298053
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_autonomy,0,ai_autonomy_stdev,,0.7866641879081726
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_education_years,0,ai_education_years_count,,70.0
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_education_years,0,ai_education_years_mean,,11.971428871154785
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_education_years,0,ai_education_years_mean_ci_lower,,11.213929176330566
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_education_years,0,ai_education_years_mean_ci_upper,,12.671428680419922
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_education_years,0,ai_education_years_median,,12.0
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_education_years,0,ai_education_years_median_ci_lower,,11.566263721764846
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_education_years,0,ai_education_years_median_ci_upper,,13.310500208463779
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),ai_education_years,0,ai_education_years_stdev,,3.1849801540374756
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),collaboration,0,collaboration_count,directive,15.0
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),collaboration,0,collaboration_pct,directive,21.428571428571427
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),collaboration,0,collaboration_count,not_classified,29.0
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),collaboration,0,collaboration_pct,not_classified,41.42857142857143
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),collaboration,0,collaboration_count,task iteration,26.0
AD,country,2025-11-13,2025-11-20,Claude AI (Free and Pro),collaboration,0,collaboration_pct,task iteration,37.142857142857146
